epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
33,1520.95,0.61438,0.51128,0.83042,0.98304,0.98733,0.98977,0.82034,0.68433,0.46872,0.82574,0.000572628,0.000572628,0.000572628
34,1564.78,0.61839,0.5124,0.83428,0.96518,0.98386,0.98592,0.83101,0.63379,0.4445,0.81992,0.00056821,0.00056821,0.00056821
35,1611.49,0.61012,0.50121,0.82646,0.95849,0.97953,0.98225,0.82315,0.62237,0.46143,0.81863,0.000563792,0.000563792,0.000563792
36,1655.9,0.60293,0.49668,0.83124,0.96744,0.98738,0.98415,0.83574,0.58684,0.43886,0.81512,0.000559374,0.000559374,0.000559374
37,1698.94,0.6068,0.48988,0.83173,0.9703,0.98335,0.98724,0.82899,0.61414,0.42824,0.81867,0.000554956,0.000554956,0.000554956
38,1744.32,0.59298,0.47266,0.83097,0.97629,0.98561,0.9873,0.83024,0.62551,0.43916,0.81835,0.000550539,0.000550539,0.000550539
39,1788.96,0.60378,0.48208,0.83023,0.95759,0.97764,0.98585,0.83245,0.61517,0.45515,0.81677,0.000546121,0.000546121,0.000546121
40,1832.33,0.6122,0.4647,0.83022,0.94863,0.97875,0.98195,0.82998,0.60196,0.47039,0.81561,0.000541703,0.000541703,0.000541703
41,1877.85,0.58132,0.46458,0.82858,0.97231,0.95128,0.98501,0.83324,0.59649,0.48506,0.8146,0.000537285,0.000537285,0.000537285
42,1922.38,0.58294,0.46634,0.8375,0.97899,0.97698,0.98841,0.8167,0.6442,0.42844,0.82241,0.000532867,0.000532867,0.000532867
43,1966.86,0.58443,0.45666,0.83007,0.96911,0.97316,0.98404,0.83117,0.60444,0.43323,0.81794,0.000528449,0.000528449,0.000528449
44,2013.63,0.57861,0.44896,0.82645,0.96914,0.99158,0.9898,0.83214,0.6147,0.43205,0.81973,0.000524031,0.000524031,0.000524031
45,2057.18,0.59861,0.46837,0.82698,0.97646,0.98136,0.98592,0.80231,0.68365,0.44353,0.83005,0.000519613,0.000519613,0.000519613
46,2103.2,0.58265,0.45448,0.83506,0.96667,0.97873,0.98554,0.8305,0.60935,0.43086,0.81684,0.000515196,0.000515196,0.000515196
47,2147.52,0.59633,0.45397,0.83252,0.96797,0.97964,0.99046,0.83824,0.59611,0.43823,0.81299,0.000510778,0.000510778,0.000510778
48,2192.61,0.57712,0.43873,0.8257,0.96886,0.98696,0.98409,0.82824,0.62788,0.41972,0.81777,0.00050636,0.00050636,0.00050636
49,2237.56,0.55998,0.41875,0.83006,0.96666,0.98341,0.98475,0.83783,0.58021,0.41562,0.81065,0.000501942,0.000501942,0.000501942
50,2281.93,0.5718,0.43498,0.82429,0.966,0.98333,0.98547,0.83923,0.56773,0.40155,0.8106,0.000497524,0.000497524,0.000497524
51,2325.56,0.56679,0.42982,0.82983,0.96709,0.98625,0.98496,0.83511,0.62684,0.44499,0.82452,0.000493106,0.000493106,0.000493106
52,2372.75,0.55777,0.41819,0.82608,0.95364,0.97975,0.98478,0.83404,0.60939,0.44263,0.81922,0.000488688,0.000488688,0.000488688
53,2417.56,0.56838,0.43708,0.82911,0.97313,0.97499,0.98702,0.83223,0.60181,0.4335,0.81733,0.000484271,0.000484271,0.000484271
54,2463.32,0.55846,0.42139,0.82269,0.97272,0.97971,0.98566,0.82705,0.6305,0.42579,0.82126,0.000479853,0.000479853,0.000479853
55,2507.32,0.5611,0.42723,0.82125,0.95855,0.96448,0.98483,0.82492,0.64642,0.43991,0.81918,0.000475435,0.000475435,0.000475435
56,2551.63,0.55416,0.42159,0.82547,0.96482,0.9951,0.99051,0.8448,0.6058,0.38811,0.81325,0.000471017,0.000471017,0.000471017
57,2595.61,0.53625,0.4034,0.8204,0.97537,0.99178,0.98914,0.83475,0.62216,0.42298,0.8201,0.000466599,0.000466599,0.000466599
58,2637.82,0.56256,0.41525,0.82048,0.96615,0.96647,0.98667,0.85301,0.58965,0.41939,0.81324,0.000462181,0.000462181,0.000462181
59,2683.52,0.56406,0.41359,0.82356,0.96399,0.9766,0.99135,0.8469,0.58744,0.40376,0.81232,0.000457763,0.000457763,0.000457763
60,2727.99,0.54478,0.39967,0.82876,0.96298,0.9812,0.98945,0.84156,0.62434,0.4035,0.82035,0.000453345,0.000453345,0.000453345
61,2770.84,0.53752,0.39339,0.82294,0.96914,0.98725,0.98815,0.85116,0.56069,0.39053,0.81288,0.000448928,0.000448928,0.000448928
62,2814.62,0.54884,0.40191,0.82077,0.95968,0.98982,0.98197,0.84395,0.57489,0.40098,0.81198,0.00044451,0.00044451,0.00044451
63,2857.35,0.54107,0.40239,0.82469,0.98314,0.96109,0.98814,0.83999,0.58932,0.40219,0.81132,0.000440092,0.000440092,0.000440092
64,2902.67,0.52707,0.39595,0.81831,0.97938,0.98487,0.98652,0.8463,0.59219,0.40335,0.81659,0.000435674,0.000435674,0.000435674
65,2944.98,0.54382,0.40367,0.82549,0.9593,0.9648,0.9881,0.8407,0.60975,0.44004,0.81792,0.000431256,0.000431256,0.000431256
66,2991.25,0.53239,0.39022,0.81967,0.97105,0.98836,0.98898,0.84181,0.60972,0.39718,0.81514,0.000426838,0.000426838,0.000426838
67,3035.68,0.5298,0.38864,0.81478,0.96656,0.9901,0.98153,0.82228,0.63126,0.40615,0.81964,0.00042242,0.00042242,0.00042242
68,3078.88,0.53378,0.39321,0.81832,0.96677,0.99009,0.98261,0.83728,0.58634,0.39604,0.81366,0.000418002,0.000418002,0.000418002
69,3123.54,0.5228,0.38247,0.82034,0.96798,0.98919,0.98544,0.84424,0.60179,0.38807,0.81638,0.000413584,0.000413584,0.000413584
70,3167.6,0.52419,0.37996,0.81676,0.97207,0.9898,0.98881,0.84994,0.58876,0.38781,0.81493,0.000409167,0.000409167,0.000409167
71,3212.44,0.53677,0.38633,0.8172,0.96523,0.99557,0.98927,0.83451,0.6124,0.39581,0.81486,0.000404749,0.000404749,0.000404749
72,3255.66,0.5143,0.37601,0.81747,0.96803,0.98858,0.99068,0.8442,0.62635,0.40664,0.81754,0.000400331,0.000400331,0.000400331
73,3299.15,0.52802,0.37653,0.81966,0.97045,0.97625,0.98926,0.85183,0.56857,0.39075,0.81017,0.000395913,0.000395913,0.000395913
74,3342.77,0.51495,0.37386,0.81764,0.98579,0.98723,0.99047,0.86194,0.55982,0.38476,0.80774,0.000391495,0.000391495,0.000391495
75,3387.34,0.5279,0.36868,0.81799,0.96748,0.99011,0.98579,0.84416,0.58654,0.39689,0.81473,0.000387077,0.000387077,0.000387077
76,3431.37,0.51573,0.36584,0.82133,0.97202,0.99432,0.98855,0.84627,0.58954,0.39272,0.81186,0.000382659,0.000382659,0.000382659
77,3474.44,0.51626,0.36323,0.81255,0.96972,0.98852,0.98997,0.83787,0.62097,0.39087,0.81525,0.000378242,0.000378242,0.000378242
78,3518.03,0.50821,0.36994,0.8162,0.95258,0.98353,0.99042,0.85084,0.56869,0.38538,0.80877,0.000373824,0.000373824,0.000373824
79,3563.98,0.51525,0.36594,0.8182,0.96943,0.97688,0.98604,0.84397,0.58726,0.39169,0.81377,0.000369406,0.000369406,0.000369406
80,3607.82,0.50677,0.36628,0.81027,0.97896,0.97968,0.99148,0.85216,0.58934,0.39245,0.81258,0.000364988,0.000364988,0.000364988
81,3650.24,0.50478,0.35003,0.81452,0.97229,0.99195,0.99101,0.85121,0.57173,0.37248,0.8091,0.00036057,0.00036057,0.00036057
82,3694.94,0.50699,0.3573,0.8155,0.9698,0.99579,0.9907,0.85965,0.58279,0.37366,0.8127,0.000356152,0.000356152,0.000356152
83,3740.18,0.51468,0.36288,0.81731,0.97385,0.9779,0.99039,0.84592,0.59,0.38785,0.81355,0.000351734,0.000351734,0.000351734
84,3784.77,0.4989,0.34494,0.81391,0.97631,0.98107,0.99017,0.85401,0.59554,0.39383,0.81498,0.000347316,0.000347316,0.000347316
85,3831.46,0.50212,0.35751,0.80848,0.97657,0.98109,0.99017,0.83834,0.60438,0.39475,0.81281,0.000342899,0.000342899,0.000342899
86,3875.76,0.49963,0.35249,0.81432,0.96862,0.98133,0.99138,0.84516,0.56892,0.39192,0.81144,0.000338481,0.000338481,0.000338481
87,3919.27,0.50162,0.35359,0.81461,0.97045,0.98024,0.99049,0.85016,0.59243,0.39701,0.81071,0.000334063,0.000334063,0.000334063
88,3964.03,0.51316,0.35075,0.81415,0.96936,0.98569,0.98709,0.84003,0.59459,0.38252,0.81061,0.000329645,0.000329645,0.000329645
89,4012.82,0.49158,0.3394,0.81645,0.97184,0.98553,0.98979,0.86239,0.57705,0.37612,0.80849,0.000325227,0.000325227,0.000325227
90,4055.57,0.49224,0.34557,0.81179,0.98256,0.98403,0.99093,0.85838,0.57315,0.37946,0.80964,0.000320809,0.000320809,0.000320809
91,4101.83,0.47597,0.33505,0.80775,0.96874,0.99416,0.99126,0.84999,0.58976,0.39162,0.81326,0.000316391,0.000316391,0.000316391
92,4146.77,0.48407,0.3365,0.80664,0.97029,0.99268,0.99096,0.85854,0.58335,0.37176,0.81281,0.000311973,0.000311973,0.000311973
93,4190.25,0.48644,0.33584,0.81118,0.97155,0.98694,0.98943,0.84765,0.58425,0.37593,0.81216,0.000307555,0.000307555,0.000307555
94,4236.26,0.47789,0.33015,0.81736,0.9769,0.98652,0.99,0.86231,0.578,0.38291,0.81039,0.000303138,0.000303138,0.000303138
95,4278.5,0.49376,0.33809,0.8159,0.96951,0.99067,0.98828,0.8582,0.57592,0.37223,0.81012,0.00029872,0.00029872,0.00029872
96,4324.7,0.47493,0.33146,0.81082,0.97473,0.98693,0.9849,0.84253,0.6075,0.39184,0.817,0.000294302,0.000294302,0.000294302
97,4367.25,0.47625,0.33429,0.8117,0.97489,0.98959,0.98538,0.83596,0.64296,0.39217,0.81775,0.000289884,0.000289884,0.000289884
98,4414.36,0.47536,0.33192,0.81071,0.97316,0.98809,0.98723,0.8487,0.58556,0.36858,0.81183,0.000285466,0.000285466,0.000285466
99,4456.34,0.46328,0.32835,0.80467,0.97903,0.98762,0.98728,0.84503,0.61264,0.37771,0.81394,0.000281048,0.000281048,0.000281048
100,4500.96,0.47547,0.33288,0.81409,0.96503,0.97209,0.9863,0.84548,0.59691,0.38405,0.8113,0.00027663,0.00027663,0.00027663
101,4545.1,0.46403,0.32942,0.80551,0.9775,0.99123,0.99008,0.85283,0.60124,0.35985,0.81226,0.000272212,0.000272212,0.000272212
102,4591.33,0.48259,0.3371,0.8112,0.97218,0.99081,0.99043,0.85709,0.57807,0.36214,0.81053,0.000267795,0.000267795,0.000267795
103,4634.98,0.47209,0.32201,0.80765,0.97373,0.98679,0.99165,0.86044,0.59526,0.37232,0.81098,0.000263377,0.000263377,0.000263377
104,4680.11,0.47284,0.32804,0.80617,0.96467,0.98336,0.99044,0.85267,0.58761,0.37506,0.81002,0.000258959,0.000258959,0.000258959
105,4723.74,0.46889,0.32614,0.81057,0.975,0.98722,0.98936,0.84643,0.62411,0.38435,0.81748,0.000254541,0.000254541,0.000254541
106,4767.95,0.45101,0.31574,0.80291,0.97766,0.98357,0.98946,0.84906,0.59492,0.38294,0.81284,0.000250123,0.000250123,0.000250123
107,4813.15,0.46664,0.32833,0.80737,0.96899,0.99203,0.99068,0.85519,0.55705,0.35538,0.80787,0.000245705,0.000245705,0.000245705
108,4858.33,0.45863,0.3129,0.80683,0.97806,0.97921,0.98965,0.84928,0.59361,0.37607,0.81032,0.000241287,0.000241287,0.000241287
109,4904.61,0.46742,0.32259,0.80453,0.96927,0.98399,0.99084,0.85173,0.57957,0.36331,0.8099,0.000236869,0.000236869,0.000236869
